=> [0] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [2] [1.5504883721983997E-5, 0.9999909125396915] == [1.0, 0.0]
=> [3] [1.2635424511076021E-5, 0.9999506357589792] == [1.0, 0.0]
=> [9] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [10] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [11] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [12] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [13] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [14] [1.5456862891671808E-5, 0.9999906861685006] == [1.0, 0.0]
=> [20] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [21] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [22] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [223] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [4] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [25] [2.272859869395516E-5, 0.6387756017556809] == [1.0, 0.0]
=> [36] [2.682449038843293E-5, 0.0013993393245251284] == [1.0, 0.0]
=> [47] [1.5504809613597903E-5, 0.9999909124059647] == [1.0, 0.0]
=> [48] [1.5505334664489556E-5, 0.9999909078843823] == [1.0, 0.0]
=> [49] [1.550467800220945E-5, 0.9999909105573197] == [1.0, 0.0]
=> [50] [1.549749992307836E-5, 0.9999909065001146] == [1.0, 0.0]
=> [51] [1.5504877349803436E-5, 0.9999909125194768] == [1.0, 0.0]
=> [52] [1.2147001482332165E-5, 0.9999102988167] == [1.0, 0.0]
=> [54] [7.58940863301305E-5, 0.8452033930627836] == [1.0, 0.0]
=> [55] [2.6485171155776754E-5, 0.9994568951266547] == [1.0, 0.0]
=> [56] [1.5312445866055846E-5, 0.9999846411704566] == [1.0, 0.0]
=> [70] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [71] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [72] [1.550488371865333E-5, 0.9999909125397328] == [1.0, 0.0]
=> [73] [1.5504821581191486E-5, 0.9999909123829291] == [1.0, 0.0]
=> [74] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [75] [1.5505486511246946E-5, 0.9999909084948867] == [1.0, 0.0]
=> [76] [1.550488369655989E-5, 0.9999909125395963] == [1.0, 0.0]
=> [77] [1.549471693118587E-5, 0.9999908895739693] == [1.0, 0.0]
=> [78] [1.550081791606983E-5, 0.9999909011749368] == [1.0, 0.0]
=> [79] [1.5507150877003273E-5, 0.9999909071108201] == [1.0, 0.0]
=> [86] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [87] [1.5504883719319462E-5, 0.9999909125397339] == [1.0, 0.0]
=> [88] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [89] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [90] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [92] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [93] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [94] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [95] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [96] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [103] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [104] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [105] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
